127.0.0.1 - - [11/Dec/2018:16:39:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:40:08 +0530] "GET /Spring100_MVC_Basics/WEB-INF/classes/com/jp/controllers/HomePageController.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:40:25 +0530] "GET /Spring100_MVC_Basics/WEB-INF/jsps/homePage.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:43:38 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:44:06 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:44:10 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:45:15 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:45:57 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:45:59 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:46:37 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Dec/2018:16:58:29 +0530] "GET /Spring100_MVC_Basics/homePage HTTP/1.1" 200 288
